OmicsProcessing	OmicsProcessing_gold_sequencing_project_identifierss	OmicsProcessing_has_input_rdf_types	OmicsProcessing_has_inputs	OmicsProcessing_has_output_rdf_types	OmicsProcessing_has_outputs	OmicsProcessing_instrument_name	OmicsProcessing_ncbi_project_name	OmicsProcessing_omics_type_rdf_types	OmicsProcessing_omics_type_terms	OmicsProcessing_omics_type_has_raw_values	OmicsProcessing_part_of_rdf_types	OmicsProcessing_part_ofs	OmicsProcessing_processing_institution	OmicsProcessing_type	OmicsProcessing_name
nmdc:omprc-11-c42xkb53		nmdc:ProcessedSample	nmdc:procsm-11-bpq3zm10	nmdc:DataObject	nmdc:dobj-11-91ww4024|nmdc:dobj-11-nafdj609	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - KONA_003-M-20170807-COMP-DNA1
nmdc:omprc-11-c4fwa165		nmdc:ProcessedSample	nmdc:procsm-11-7k70sy14	nmdc:DataObject	nmdc:dobj-11-8vsnjh97|nmdc:dobj-11-w92yen56	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - SRER_004-M-20190806-COMP-DNA1
nmdc:omprc-11-c4wr1h97		nmdc:ProcessedSample	nmdc:procsm-11-baaj6m76	nmdc:DataObject	nmdc:dobj-11-hy5d9r89|nmdc:dobj-11-yfgfn306	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - WREF_005-M-20180625-COMP-DNA1
nmdc:omprc-11-c5q7a198		nmdc:ProcessedSample	nmdc:procsm-11-ntdstz27	nmdc:DataObject	nmdc:dobj-11-aw3d7a15|nmdc:dobj-11-j6bq4947	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - SRER_001-M-20170815-COMP-DNA1
nmdc:omprc-11-c6gfc545		nmdc:ProcessedSample	nmdc:procsm-11-zfdr1418	nmdc:DataObject	nmdc:dobj-11-9fh16p93|nmdc:dobj-11-sjhzk204	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - TALL_047-M-20160822-COMP-DNA1
nmdc:omprc-11-c6rfwb87		nmdc:ProcessedSample	nmdc:procsm-11-78xz4m73	nmdc:DataObject	nmdc:dobj-11-28m0qk42|nmdc:dobj-11-b8kyj084	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - ONAQ_010-M-20180529-COMP-DNA1
nmdc:omprc-11-c7994628		nmdc:ProcessedSample	nmdc:procsm-11-1v1t5218	nmdc:DataObject	nmdc:dobj-11-fkaqw762|nmdc:dobj-11-mmtc7780	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - UNDE_001-M-20160809-COMP-DNA1
nmdc:omprc-11-c82tqn53		nmdc:ProcessedSample	nmdc:procsm-11-jt3b8n03	nmdc:DataObject	nmdc:dobj-11-mgw74e76|nmdc:dobj-11-zpt8q698	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - WREF_070-M-20200713-COMP-DNA1
nmdc:omprc-11-c8yf4481		nmdc:ProcessedSample	nmdc:procsm-11-ndpn1008	nmdc:DataObject	nmdc:dobj-11-61k26g97|nmdc:dobj-11-z62z7119	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - TREE_003-M-20170707-COMP-DNA1
nmdc:omprc-11-c9c0tt22		nmdc:ProcessedSample	nmdc:procsm-11-zpmz3702	nmdc:DataObject	nmdc:dobj-11-rbem1471|nmdc:dobj-11-v5rgj444	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - OSBS_003-M-20160823-COMP-DNA1
nmdc:omprc-11-ca2v9c62		nmdc:ProcessedSample	nmdc:procsm-11-gda5mp32	nmdc:DataObject	nmdc:dobj-11-vg05q543|nmdc:dobj-11-xzqzn126	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - ONAQ_005-M-20170626-COMP-DNA1
nmdc:omprc-11-ca2xh461		nmdc:ProcessedSample	nmdc:procsm-11-ee62rz55	nmdc:DataObject	nmdc:dobj-11-vy2stc36|nmdc:dobj-11-wn616638	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - PUUM_004-M-20200114-COMP-DNA1
nmdc:omprc-11-catf3k74		nmdc:ProcessedSample	nmdc:procsm-11-c9hekk75	nmdc:DataObject	nmdc:dobj-11-3e4epq93|nmdc:dobj-11-f8p7ch59	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - HEAL_005-O-20170726-COMP-DNA1
nmdc:omprc-11-cbanda03		nmdc:ProcessedSample	nmdc:procsm-11-k4eyxz46	nmdc:DataObject	nmdc:dobj-11-22jjfg37|nmdc:dobj-11-5405q142|nmdc:dobj-11-k6d8kd72|nmdc:dobj-11-kjb5nf36	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - WOOD_002-M-20170712-COMP-DNA2
nmdc:omprc-11-cc8x5a28		nmdc:ProcessedSample	nmdc:procsm-11-h8t4bw60	nmdc:DataObject	nmdc:dobj-11-ahy14053|nmdc:dobj-11-cs7hcc36	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - TALL_004-M-20170612-COMP-DNA1
nmdc:omprc-11-cff3r830		nmdc:ProcessedSample	nmdc:procsm-11-4gsxm095	nmdc:DataObject	nmdc:dobj-11-kttg4v31|nmdc:dobj-11-m5ysq437	Illumina HiSeq	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	ANL	nmdc:OmicsProcessing	Terrestrial soil microbial communities - SCBI_002-M-20140915-COMP-DNA1
nmdc:omprc-11-cgvnyf57		nmdc:ProcessedSample	nmdc:procsm-11-8cb85n43	nmdc:DataObject	nmdc:dobj-11-7v584475|nmdc:dobj-11-exd1gd80	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - ORNL_049-M-20190612-COMP-DNA2
nmdc:omprc-11-cp8ftt52		nmdc:ProcessedSample	nmdc:procsm-11-zyxfdr82	nmdc:DataObject	nmdc:dobj-11-aa8vxq70|nmdc:dobj-11-wptb6n17	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - TALL_054-M-20190617-COMP-DNA1
nmdc:omprc-11-cpqbew37		nmdc:ProcessedSample	nmdc:procsm-11-x901yj21	nmdc:DataObject	nmdc:dobj-11-2dqh0207|nmdc:dobj-11-9gp71v32	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - YELL_048-M-20190820-COMP-DNA1
nmdc:omprc-11-crkcj584		nmdc:ProcessedSample	nmdc:procsm-11-8b2fd646	nmdc:DataObject	nmdc:dobj-11-he1h4s87|nmdc:dobj-11-nqwzet19	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - WREF_072-O-20200715-COMP-DNA1
nmdc:omprc-11-cwrgw241		nmdc:ProcessedSample	nmdc:procsm-11-6feg4b36	nmdc:DataObject	nmdc:dobj-11-g7k97v47|nmdc:dobj-11-jmjps577	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - TREE_003-M-20200708-COMP-DNA1
nmdc:omprc-11-cxmjx557		nmdc:ProcessedSample	nmdc:procsm-11-d7dz9783	nmdc:DataObject	nmdc:dobj-11-px3php40|nmdc:dobj-11-td2vgy45	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - YELL_012-M-20180709-COMP-DNA1
nmdc:omprc-11-cxp40y98		nmdc:ProcessedSample	nmdc:procsm-11-m5k9fm39	nmdc:DataObject	nmdc:dobj-11-avr8y187|nmdc:dobj-11-wx9mme72	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - PUUM_034-O-20200106-COMP-DNA1
nmdc:omprc-11-d06dhj06		nmdc:ProcessedSample	nmdc:procsm-11-49554297	nmdc:DataObject	nmdc:dobj-11-k3yakr08|nmdc:dobj-11-wk4cac13	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - PUUM_010-O-20200106-COMP-DNA1
nmdc:omprc-11-d0ta0736		nmdc:ProcessedSample	nmdc:procsm-11-6nrxkj05	nmdc:DataObject	nmdc:dobj-11-3f3yrx32|nmdc:dobj-11-vk5mfe25	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - WREF_004-O-20200715-COMP-DNA1
nmdc:omprc-11-d2eybj67		nmdc:ProcessedSample	nmdc:procsm-11-6hzedv39	nmdc:DataObject	nmdc:dobj-11-5x5dg890|nmdc:dobj-11-nr694505	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - WOOD_045-M-20200805-COMP-DNA1
nmdc:omprc-11-d2rq4q70		nmdc:ProcessedSample	nmdc:procsm-11-5f0b1w30	nmdc:DataObject	nmdc:dobj-11-3w5axw50|nmdc:dobj-11-dnv1zs80	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - SJER_001-M-20180220-COMP-DNA1
nmdc:omprc-11-d356wg79		nmdc:ProcessedSample	nmdc:procsm-11-1098zx14	nmdc:DataObject	nmdc:dobj-11-pk9pg221|nmdc:dobj-11-s9adn578	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - UNDE_001-O-20180723-COMP-DNA1
nmdc:omprc-11-d5vkvp76		nmdc:ProcessedSample	nmdc:procsm-11-wsmda061	nmdc:DataObject	nmdc:dobj-11-0vch0804|nmdc:dobj-11-c3x20b64|nmdc:dobj-11-sn8rgv35|nmdc:dobj-11-veyw8e65	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - TOOL_002-M-20170721-COMP-DNA1
nmdc:omprc-11-d7jmsb05		nmdc:ProcessedSample	nmdc:procsm-11-m8r44p78	nmdc:DataObject	nmdc:dobj-11-0r2fn760|nmdc:dobj-11-0wpfqw37|nmdc:dobj-11-1a46xk13|nmdc:dobj-11-qzdjhm40	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - HEAL_047-O-20170725-COMP-DNA1
nmdc:omprc-11-d8543w58		nmdc:ProcessedSample	nmdc:procsm-11-vrxt3w11	nmdc:DataObject	nmdc:dobj-11-6vd4y314|nmdc:dobj-11-jp7hkz76	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - ONAQ_044-M-20180530-COMP-DNA1
nmdc:omprc-11-d9tz5w03		nmdc:ProcessedSample	nmdc:procsm-11-hgdxx310	nmdc:DataObject	nmdc:dobj-11-vr81px33|nmdc:dobj-11-zq7v2v63	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - JERC_006-M-20160726-COMP-DNA1
nmdc:omprc-11-da2dw160		nmdc:ProcessedSample	nmdc:procsm-11-8rdt3281	nmdc:DataObject	nmdc:dobj-11-cb3cby51|nmdc:dobj-11-kqrpkr96	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - ORNL_003-O-20160727-COMP-DNA1
nmdc:omprc-11-daxdrw75		nmdc:ProcessedSample	nmdc:procsm-11-arg1b924	nmdc:DataObject	nmdc:dobj-11-38xsb215|nmdc:dobj-11-z8x1mp43	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - SCBI_008-M-20170718-COMP-DNA1
nmdc:omprc-11-dbpx4y68		nmdc:ProcessedSample	nmdc:procsm-11-q34vyp62	nmdc:DataObject	nmdc:dobj-11-52m13n77|nmdc:dobj-11-yzj76x59	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - SCBI_010-M-20200720-COMP-DNA1
nmdc:omprc-11-dcsqme84		nmdc:ProcessedSample	nmdc:procsm-11-9egdtk82	nmdc:DataObject	nmdc:dobj-11-3188de78|nmdc:dobj-11-xe4hbz19	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - HEAL_045-O-20170725-COMP-DNA1
nmdc:omprc-11-de7htm36		nmdc:ProcessedSample	nmdc:procsm-11-krj63d35	nmdc:DataObject	nmdc:dobj-11-0qbx6t67|nmdc:dobj-11-2e525488	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - ONAQ_043-M-20200713-COMP-DNA1
nmdc:omprc-11-df8svj44		nmdc:ProcessedSample	nmdc:procsm-11-m988tp25	nmdc:DataObject	nmdc:dobj-11-e9wmvc29|nmdc:dobj-11-nscck243	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - TOOL_003-O-20190807-COMP-DNA1
nmdc:omprc-11-dk9pdr92		nmdc:ProcessedSample	nmdc:procsm-11-s4d5aa48	nmdc:DataObject	nmdc:dobj-11-90v0ry89|nmdc:dobj-11-aymftb07	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - RMNP_004-O-20200629-COMP-DNA1
nmdc:omprc-11-dkykw635		nmdc:ProcessedSample	nmdc:procsm-11-36h41a55	nmdc:DataObject	nmdc:dobj-11-4vgvmp57|nmdc:dobj-11-w8n38m39	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - UNDE_007-M-20160809-COMP-DNA1
nmdc:omprc-11-dmcd0v23		nmdc:ProcessedSample	nmdc:procsm-11-z32v1621	nmdc:DataObject	nmdc:dobj-11-ax243360|nmdc:dobj-11-xkhbtp93	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - WREF_072-M-20190618-COMP-DNA1
nmdc:omprc-11-dn2ash06		nmdc:ProcessedSample	nmdc:procsm-11-2wp9b705	nmdc:DataObject	nmdc:dobj-11-2ssyya30|nmdc:dobj-11-w5q65t82	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - SRER_052-M-20170815-COMP-DNA1
nmdc:omprc-11-dn2wkv61		nmdc:ProcessedSample	nmdc:procsm-11-gk3gmf16	nmdc:DataObject	nmdc:dobj-11-4tz5vy67|nmdc:dobj-11-7tv5kp79	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - TALL_001-M-20170612-COMP-DNA1
nmdc:omprc-11-dp1jwd11		nmdc:ProcessedSample	nmdc:procsm-11-2z8vkw07	nmdc:DataObject	nmdc:dobj-11-39zxag93|nmdc:dobj-11-5s177060	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - UNDE_003-M-20180723-COMP-DNA1
nmdc:omprc-11-dpg3ys16		nmdc:ProcessedSample	nmdc:procsm-11-1x459y71	nmdc:DataObject	nmdc:dobj-11-6e150290|nmdc:dobj-11-jez2qz70	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - CPER_002-M-20200624-COMP-DNA1
nmdc:omprc-11-dpqnkw77		nmdc:ProcessedSample	nmdc:procsm-11-4ze1kv96	nmdc:DataObject	nmdc:dobj-11-gdvem334|nmdc:dobj-11-tbd9xz12	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - ONAQ_041-M-20210524-COMP-DNA1
nmdc:omprc-11-dpygyr27		nmdc:ProcessedSample	nmdc:procsm-11-3vqpbm72	nmdc:DataObject	nmdc:dobj-11-90ttmd41|nmdc:dobj-11-j0mj6316	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - CLBJ_006-M-20160817-COMP-DNA1
nmdc:omprc-11-dq5z8c26		nmdc:ProcessedSample	nmdc:procsm-11-kp7tf071	nmdc:DataObject	nmdc:dobj-11-kcrrjd02|nmdc:dobj-11-srxmmf57	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - STEI_060-O-20170706-COMP-DNA1
nmdc:omprc-11-drw56r89		nmdc:ProcessedSample	nmdc:procsm-11-qjpa0h11	nmdc:DataObject	nmdc:dobj-11-14n5hh31|nmdc:dobj-11-tqsq4h36	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - SCBI_006-M-20190729-COMP-DNA1
nmdc:omprc-11-dsd1e668		nmdc:ProcessedSample	nmdc:procsm-11-8nf87065	nmdc:DataObject	nmdc:dobj-11-1bf46g26|nmdc:dobj-11-sbd4ch65	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - WREF_073-O-20180627-COMP-DNA1
nmdc:omprc-11-dycnft20		nmdc:ProcessedSample	nmdc:procsm-11-echrw031	nmdc:DataObject	nmdc:dobj-11-73t8jt37|nmdc:dobj-11-tqqpe927	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - UNDE_043-M-20190717-COMP-DNA1
nmdc:omprc-11-dz3rnd45		nmdc:ProcessedSample	nmdc:procsm-11-h9z1cx20	nmdc:DataObject	nmdc:dobj-11-k86ycv22|nmdc:dobj-11-qafyn198	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - YELL_003-M-20200708-COMP-DNA1
nmdc:omprc-11-e41g0r22		nmdc:ProcessedSample	nmdc:procsm-11-fjwq1b43	nmdc:DataObject	nmdc:dobj-11-e6944t32|nmdc:dobj-11-h2g5tv66	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - JORN_047-M-20170808-COMP-DNA1
nmdc:omprc-11-e4hgfy10		nmdc:ProcessedSample	nmdc:procsm-11-4a6eyf20	nmdc:DataObject	nmdc:dobj-11-p76h2974|nmdc:dobj-11-pgk43j75	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - RMNP_045-M-20200701-COMP-DNA1
nmdc:omprc-11-e5sc1663		nmdc:ProcessedSample	nmdc:procsm-11-gsgzad19	nmdc:DataObject	nmdc:dobj-11-ngjh5f54|nmdc:dobj-11-r1djvc38	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - YELL_048-M-20200709-COMP-DNA1
nmdc:omprc-11-e695ad12		nmdc:ProcessedSample	nmdc:procsm-11-r67ygy40	nmdc:DataObject	nmdc:dobj-11-8ap8d938|nmdc:dobj-11-m3s37g17|nmdc:dobj-11-wvsbxd17|nmdc:dobj-11-xrkedn03	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - STER_027-M-20170605-COMP-DNA1
nmdc:omprc-11-e75yka14		nmdc:ProcessedSample	nmdc:procsm-11-m1qv3t97	nmdc:DataObject	nmdc:dobj-11-18pat136|nmdc:dobj-11-g0ksn004	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - SJER_046-M-20190311-COMP-DNA1
nmdc:omprc-11-e8nq9d35		nmdc:ProcessedSample	nmdc:procsm-11-6cqx5w69	nmdc:DataObject	nmdc:dobj-11-10ndnc87|nmdc:dobj-11-16senr94	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - ONAQ_002-M-20180531-COMP-DNA1
nmdc:omprc-11-e92f9714		nmdc:ProcessedSample	nmdc:procsm-11-qe0twx78	nmdc:DataObject	nmdc:dobj-11-wggwma79|nmdc:dobj-11-y2rwwh83	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - TALL_051-O-20160822-COMP-DNA1
nmdc:omprc-11-e92w2153		nmdc:ProcessedSample	nmdc:procsm-11-t0p7ey38	nmdc:DataObject	nmdc:dobj-11-qc79x715|nmdc:dobj-11-yfc06f35	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - WOOD_004-M-20190716-COMP-DNA1
nmdc:omprc-11-eb42jg40		nmdc:ProcessedSample	nmdc:procsm-11-r6p7ag53	nmdc:DataObject	nmdc:dobj-11-qsg54038|nmdc:dobj-11-wz4p8151	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - OSBS_029-M-20160822-COMP-DNA1
nmdc:omprc-11-ed4jzw08		nmdc:ProcessedSample	nmdc:procsm-11-hjfcyd91	nmdc:DataObject	nmdc:dobj-11-s9ste148|nmdc:dobj-11-zrgv1v45	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - OSBS_022-O-20160823-COMP-DNA1
nmdc:omprc-11-ef5anz42		nmdc:ProcessedSample	nmdc:procsm-11-tnahzv37	nmdc:DataObject	nmdc:dobj-11-1d2mte20|nmdc:dobj-11-vnrg4821	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - SCBI_003-M-20190729-COMP-DNA1
nmdc:omprc-11-efnhqk04		nmdc:ProcessedSample	nmdc:procsm-11-2vd75j16	nmdc:DataObject	nmdc:dobj-11-2z1vgh47|nmdc:dobj-11-j979kg02	Illumina NextSeq550	PRJNA406974	nmdc:ControlledTermValue		metagenome	nmdc:Study	nmdc:sty-11-34xj1150	Battelle	nmdc:OmicsProcessing	Terrestrial soil microbial communities - WOOD_001-M-20190716-COMP-DNA1
